warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-B,Laptop,Supplier-W,191.0,129,2026-04-18,1101.85
WH-D,Keyboard,Supplier-V,886.0,153,2025-08-25,2694.57
WH-D,Mouse,Supplier-W,97.0,100,2025-06-01,1360.16
WH-E,Mouse,Supplier-W,266.0,155,2025-10-25,2290.26
WH-C,Printer,Supplier-Z,689.0,150,2025-12-28,3096.93
WH-A,Router,Supplier-W,667.0,11,2025-12-18,3656.54
WH-C,Mobile,Supplier-Y,615.0,270,2026-03-30,2011.04
WH-A,Keyboard,Supplier-Z,961.0,138,2024-10-15,4179.19
WH-B,Router,Supplier-Y,766.0,375,2025-01-24,1489.11
WH-A,Tablet,,,220,2025-03-01,
WH-E,Monitor,Supplier-Z,835.0,305,2025-03-11,5208.33
WH-B,Monitor,Supplier-Y,429.0,496,2025-09-18,4745.07
WH-A,Mobile,Supplier-Z,138.0,384,2026-05-26,4525.81
WH-E,Mobile,Supplier-X,542.0,107,2026-02-01,4741.41
WH-D,Monitor,Supplier-X,123.0,432,2025-09-21,3753.79
WH-B,Tablet,Supplier-X,809.0,100,2025-01-30,5078.1
WH-A,Mouse,Supplier-W,989.0,165,2025-07-03,4275.77
WH-E,Router,Supplier-X,425.0,80,2025-05-18,714.97
WH-B,Printer,Supplier-W,451.0,147,2024-09-02,4336.98
WH-A,Monitor,Supplier-W,767.0,245,2024-10-27,2288.13
WH-E,Keyboard,Supplier-X,694.0,302,2025-04-04,1312.25
WH-C,Router,Supplier-Z,893.0,62,2025-08-19,3422.26
WH-C,Printer,Supplier-Z,687.0,27,2024-11-26,1537.58
WH-A,Keyboard,Supplier-V,873.0,443,2024-11-18,3863.95
WH-C,Printer,Supplier-W,173.0,113,2025-08-21,983.2
WH-B,Keyboard,Supplier-V,29.0,130,2025-10-17,2180.75
WH-C,Mobile,Supplier-Y,833.0,398,2026-04-23,3135.0
WH-B,Monitor,Supplier-W,480.0,473,2026-02-16,3640.81
WH-B,Router,Supplier-Y,584.0,434,2025-08-14,5016.45
WH-A,Tablet,Supplier-X,380.0,29,2025-01-15,1068.91
WH-E,Mouse,Supplier-W,854.0,41,2025-08-05,3592.3
WH-A,Router,Supplier-V,966.0,169,2026-05-06,4552.23
WH-A,Mouse,Supplier-Y,437.0,72,2026-06-07,4560.56
WH-D,Laptop,Supplier-V,413.0,314,2025-08-16,3365.96
WH-C,Tablet,Supplier-Z,799.0,210,2026-03-02,1702.9
WH-B,Laptop,Supplier-V,169.0,254,2025-07-16,710.85
WH-E,Keyboard,Supplier-Y,517.0,268,2026-05-15,3768.31
WH-A,Tablet,Supplier-Y,397.0,78,2025-02-11,2435.54
WH-D,Tablet,Supplier-Y,847.0,236,2025-12-29,3012.95
WH-E,Router,Supplier-V,138.0,119,2025-11-21,1797.15
WH-E,Mobile,Supplier-Y,743.0,174,2024-12-14,2926.94
WH-C,Mobile,Supplier-W,387.0,292,2026-03-31,2449.62
WH-E,Laptop,Supplier-W,145.0,99,2025-04-11,1122.79
WH-C,Monitor,Supplier-W,25.0,344,2024-08-20,1813.94
WH-C,Mouse,Supplier-Y,74.0,252,2026-02-24,2566.16
WH-B,Mobile,Supplier-X,810.0,220,2024-10-27,2802.11
WH-C,Keyboard,Supplier-Z,507.0,483,2025-09-02,2879.77
WH-A,Tablet,Supplier-V,571.0,461,2025-10-12,1735.27
WH-B,Mobile,Supplier-Z,176.0,155,2025-03-08,1306.69
WH-A,Printer,Supplier-X,58.0,408,2024-11-13,1993.72
WH-E,Laptop,Supplier-X,347.0,402,2025-03-09,4205.27
WH-E,Mobile,Supplier-V,801.0,119,2025-04-14,2561.22
WH-A,Mouse,Supplier-V,945.0,27,2025-05-15,4547.27
WH-A,Laptop,Supplier-Z,563.0,285,2026-03-30,1880.35
WH-A,Keyboard,Supplier-W,75.0,401,2024-12-16,2047.48
WH-C,Monitor,Supplier-Y,156.0,379,2025-01-31,1720.47
WH-C,Monitor,Supplier-Z,253.0,486,2025-07-06,2286.03
WH-C,Tablet,,,121,2024-07-06,
WH-B,Printer,Supplier-Z,749.0,3,2026-01-27,1770.25
WH-C,Keyboard,Supplier-X,341.0,444,2024-09-24,5158.73
WH-D,Keyboard,Supplier-V,152.0,375,2024-08-11,2251.5
WH-C,Monitor,Supplier-V,176.0,0,2025-03-31,3415.3
WH-A,Keyboard,Supplier-X,759.0,91,2024-09-12,1473.51
WH-D,Router,Supplier-W,343.0,114,2026-04-23,2187.53
WH-E,Keyboard,Supplier-X,297.0,493,2026-02-01,2970.83
WH-A,Mobile,Supplier-X,591.0,131,2024-10-11,978.47
WH-B,Monitor,Supplier-V,711.0,419,2024-07-15,5166.55
WH-D,Monitor,Supplier-W,840.0,491,2025-08-15,4966.83
WH-B,Printer,Supplier-V,464.0,232,2025-07-25,2666.06
WH-A,Tablet,Supplier-X,258.0,218,2025-01-26,4235.39
WH-A,Mouse,Supplier-X,537.0,221,2024-12-30,3200.09
WH-A,Printer,Supplier-Z,562.0,227,2026-03-05,2754.23
WH-B,Router,Supplier-Z,758.0,99,2026-01-23,1483.88
WH-B,Tablet,Supplier-W,470.0,277,2025-07-28,1632.37
WH-C,Laptop,Supplier-W,299.0,220,2024-10-23,2031.52
WH-E,Tablet,Supplier-Y,950.0,74,2025-11-04,4729.61
WH-C,Laptop,Supplier-Y,376.0,179,2026-02-19,4133.02
WH-A,Monitor,Supplier-W,766.0,19,2026-01-14,1497.99
WH-D,Mobile,Supplier-V,704.0,352,2024-07-29,4530.1
WH-A,Mobile,Supplier-Z,895.0,234,2025-08-15,3321.77
WH-D,Mouse,Supplier-W,180.0,433,2025-09-26,2190.12
WH-E,Printer,,,223,2026-06-17,
WH-D,Mobile,Supplier-X,121.0,206,2026-01-22,708.54
WH-E,Router,Supplier-V,388.0,494,2025-04-08,2029.51
WH-A,Keyboard,Supplier-W,527.0,106,2024-09-03,4201.6
WH-E,Mobile,Supplier-Y,249.0,390,2025-04-22,1739.32
WH-B,Mouse,Supplier-X,6.0,238,2025-12-11,2961.24
WH-E,Mobile,Supplier-Y,63.0,489,2026-05-19,4105.85
WH-B,Keyboard,Supplier-W,438.0,270,2025-11-07,2335.71
WH-E,Keyboard,Supplier-Z,252.0,290,2024-12-08,2390.23
WH-A,Mouse,Supplier-V,283.0,326,2025-04-04,694.25
WH-D,Monitor,Supplier-W,789.0,8,2025-06-13,2451.49
WH-C,Laptop,Supplier-W,698.0,141,2026-03-09,1638.59
WH-C,Mobile,Supplier-W,407.0,214,2025-11-13,4402.17
WH-E,Mouse,Supplier-Y,493.0,230,2024-10-23,1182.35
WH-B,Router,Supplier-W,830.0,168,2026-01-13,2335.95
WH-D,Mobile,Supplier-V,799.0,384,2026-05-13,2462.19
WH-D,Printer,,,260,2025-12-29,
WH-A,Tablet,Supplier-V,283.0,168,2026-05-29,4998.48
WH-B,Tablet,Supplier-Y,774.0,6,2025-10-04,5002.5
WH-E,Laptop,,,233,2024-07-23,
WH-A,Mouse,Supplier-Z,962.0,39,2024-09-09,3249.87
WH-B,Tablet,Supplier-Y,483.0,322,2026-04-02,2541.45
WH-E,Printer,Supplier-W,272.0,456,2025-12-08,3367.61
WH-A,Tablet,Supplier-V,151.0,324,2025-09-01,1542.28
WH-D,Laptop,Supplier-Z,801.0,492,2026-02-02,4291.26
WH-E,Keyboard,Supplier-V,984.0,440,2026-01-23,3824.75
WH-D,Printer,Supplier-V,468.0,265,2024-08-03,1388.84
WH-B,Monitor,Supplier-X,903.0,312,2024-12-05,3099.04
WH-C,Printer,Supplier-Y,430.0,156,2026-06-20,1911.52
WH-E,Router,Supplier-X,867.0,91,2024-07-12,1102.72
WH-B,Router,Supplier-W,410.0,447,2025-08-19,3418.32
WH-B,Keyboard,Supplier-W,778.0,345,2024-11-27,1926.11
WH-E,Mouse,Supplier-X,63.0,19,2025-04-20,1522.99
WH-E,Router,Supplier-Y,182.0,99,2025-09-24,2094.3
WH-B,Router,Supplier-W,423.0,202,2024-07-10,3577.44
WH-C,Mobile,Supplier-V,386.0,261,2025-02-01,4096.6
WH-E,Laptop,Supplier-V,237.0,89,2025-06-04,3466.69
WH-E,Keyboard,Supplier-Z,216.0,472,2025-05-06,1294.54
WH-D,Tablet,Supplier-W,583.0,410,2026-03-09,5073.81
WH-E,Printer,Supplier-Z,24.0,454,2026-03-11,4589.7
WH-E,Tablet,Supplier-Z,144.0,114,2025-01-30,968.08
WH-A,Keyboard,Supplier-Z,123.0,457,2024-11-24,2637.21
WH-D,Printer,Supplier-V,307.0,352,2025-10-11,2174.66
WH-C,Mouse,Supplier-W,254.0,164,2025-01-05,4933.54
WH-D,Keyboard,Supplier-Z,900.0,117,2024-12-11,4328.33
WH-E,Mouse,Supplier-Z,254.0,155,2026-06-16,2916.77
WH-E,Keyboard,Supplier-V,790.0,101,2024-12-04,3086.89
WH-A,Monitor,Supplier-Z,576.0,441,2024-11-01,1313.29
WH-D,Mouse,Supplier-X,926.0,405,2024-09-11,3269.39
WH-E,Printer,Supplier-Z,658.0,424,2024-11-04,1742.26
WH-E,Mobile,Supplier-X,300.0,156,2025-07-11,3261.77
WH-B,Router,Supplier-Y,724.0,292,2026-01-23,3781.38
WH-E,Mouse,Supplier-X,894.0,80,2025-04-23,4462.31
WH-E,Tablet,Supplier-V,680.0,162,2024-11-01,4767.17
WH-D,Keyboard,Supplier-Z,817.0,149,2024-08-18,1368.74
WH-B,Router,,,162,2026-04-28,
WH-E,Mouse,Supplier-Z,961.0,63,2025-10-15,1229.79
WH-C,Printer,Supplier-X,666.0,475,2025-02-12,3757.84
WH-E,Printer,Supplier-W,202.0,444,2024-10-11,3133.53
WH-E,Monitor,Supplier-Z,8.0,499,2026-02-27,1528.75
WH-C,Tablet,Supplier-W,990.0,474,2025-11-03,2644.42
WH-B,Mobile,Supplier-X,602.0,291,2024-11-10,4701.92
WH-A,Laptop,Supplier-Z,864.0,107,2024-12-20,1272.59
WH-D,Router,Supplier-X,693.0,190,2025-08-02,3806.0
WH-B,Mobile,,,131,2025-03-18,
WH-A,Router,Supplier-V,1.0,231,2026-06-14,1227.64
WH-D,Laptop,Supplier-Z,861.0,11,2026-01-31,2937.43
WH-E,Printer,Supplier-W,729.0,382,2024-07-05,1052.34
WH-E,Printer,Supplier-Z,907.0,280,2025-07-04,1981.34
WH-C,Printer,Supplier-X,622.0,434,2026-02-20,1906.58
WH-D,Mobile,Supplier-V,217.0,46,2025-03-24,4399.79
WH-C,Laptop,Supplier-Z,264.0,272,2025-04-09,3535.1
WH-D,Monitor,Supplier-X,867.0,316,2025-04-17,4351.31
WH-C,Mobile,Supplier-X,255.0,477,2026-01-08,4188.23
WH-E,Tablet,Supplier-V,986.0,392,2024-12-21,5052.64
WH-C,Tablet,Supplier-Z,585.0,388,2025-01-11,3645.88
WH-A,Router,Supplier-V,590.0,468,2025-11-08,2956.57
WH-C,Monitor,Supplier-Y,947.0,155,2026-06-17,3820.96
WH-B,Laptop,Supplier-Z,163.0,149,2024-10-12,806.39
WH-A,Mobile,Supplier-Y,863.0,395,2025-03-24,1751.6
WH-D,Laptop,Supplier-W,511.0,80,2025-04-28,3811.79
WH-C,Monitor,Supplier-V,831.0,26,2026-05-28,4857.42
WH-C,Laptop,Supplier-X,172.0,324,2026-05-26,2175.55
WH-D,Router,Supplier-X,493.0,150,2024-09-11,3612.96
WH-A,Laptop,Supplier-Z,636.0,87,2025-02-16,1429.01
WH-B,Mouse,Supplier-Y,818.0,18,2024-08-26,3705.86
WH-A,Mouse,Supplier-V,68.0,488,2024-10-12,4179.88
WH-C,Printer,Supplier-X,862.0,20,2026-03-14,2537.71
WH-B,Mouse,Supplier-X,523.0,442,2025-11-16,3697.99
WH-D,Mouse,Supplier-Y,241.0,14,2025-02-16,3483.08
WH-D,Printer,,,281,2024-12-27,
WH-D,Tablet,Supplier-Y,672.0,390,2025-08-02,3046.48
WH-C,Laptop,Supplier-X,260.0,130,2025-06-13,2456.94
WH-A,Mouse,Supplier-V,863.0,195,2026-01-31,2614.45
WH-E,Router,Supplier-X,621.0,220,2024-10-01,1940.29
WH-A,Printer,Supplier-W,241.0,87,2024-10-10,3691.49
WH-D,Tablet,Supplier-X,281.0,484,2026-05-24,4212.54
WH-E,Keyboard,Supplier-Y,626.0,196,2025-06-08,2680.49
WH-C,Mobile,Supplier-V,298.0,135,2024-12-11,4749.37
WH-C,Mobile,Supplier-Y,725.0,139,2026-01-11,3225.03
WH-D,Mobile,Supplier-Z,382.0,201,2026-02-24,3763.5
WH-B,Mobile,Supplier-W,557.0,241,2024-09-27,4313.44
WH-E,Mobile,Supplier-X,770.0,287,2025-01-26,3923.44
WH-E,Router,,,449,2025-11-13,
WH-D,Printer,Supplier-W,884.0,190,2025-05-13,4005.06
WH-B,Router,Supplier-V,367.0,101,2026-02-27,1159.3
WH-A,Printer,Supplier-V,653.0,146,2024-10-19,4868.07
WH-D,Mobile,Supplier-V,241.0,394,2024-10-07,2344.4
WH-A,Mobile,Supplier-Y,150.0,78,2025-11-10,3623.75
WH-D,Keyboard,Supplier-Z,418.0,85,2024-12-27,3273.2
WH-B,Mouse,Supplier-V,675.0,2,2025-06-14,2375.28
WH-C,Printer,Supplier-Y,909.0,481,2025-09-22,5359.82
WH-C,Printer,Supplier-Y,245.0,226,2024-07-20,731.29
WH-A,Tablet,Supplier-Z,455.0,94,2026-03-09,4617.17
WH-B,Mouse,Supplier-Y,877.0,238,2025-06-03,3310.6
WH-E,Laptop,Supplier-W,181.0,375,2024-11-25,1847.42
WH-D,Mobile,Supplier-X,967.0,349,2025-01-31,1236.81
WH-A,Laptop,,,107,2026-05-23,
WH-B,Printer,,,372,2025-07-03,
WH-E,Keyboard,,,309,2024-10-26,
WH-E,Mobile,,,455,2025-10-22,
WH-D,Laptop,,,258,2026-04-06,
WH-B,Keyboard,,,435,2026-01-09,
WH-A,Router,,,55,2024-09-13,
WH-C,Tablet,,,359,2024-07-06,
WH-C,Tablet,,,121,2024-07-06,
WH-B,Router,,,461,2025-12-12,
WH-A,Tablet,,,220,2025-03-01,
WH-A,Printer,,,102,2025-05-16,
WH-B,Router,,,494,2025-05-28,
WH-D,Printer,,,281,2024-12-27,
WH-B,Router,,,162,2026-04-28,
WH-D,Printer,,,260,2025-12-29,
WH-A,Laptop,,,389,2025-04-08,
WH-E,Printer,,,223,2026-06-17,
WH-E,Printer,,,45,2025-01-02,
WH-E,Printer,,,65,2025-12-09,
WH-C,Laptop,,,107,2025-11-17,
WH-E,Printer,,,132,2025-06-27,
WH-D,Router,,,407,2024-09-27,
WH-D,Printer,,,11,2025-06-30,
WH-A,Mobile,,,69,2024-10-14,
WH-E,Monitor,,,379,2025-11-30,
WH-A,Printer,,,388,2025-05-02,
WH-E,Router,,,449,2025-11-13,
WH-E,Laptop,,,233,2024-07-23,
WH-B,Mobile,,,131,2025-03-18,
WH-B,Tablet,Supplier-X,590.0,110,2025-07-14,4992.22
WH-C,Laptop,Supplier-V,237.0,481,2026-05-15,2699.98
WH-D,Tablet,Supplier-W,618.0,467,2026-05-24,3585.47
WH-D,Keyboard,Supplier-W,785.0,410,2025-08-01,2770.62
WH-D,Monitor,Supplier-V,625.0,32,2024-12-12,3264.51
WH-A,Mobile,Supplier-X,32.0,182,2025-06-17,2385.11
WH-E,Router,Supplier-W,504.0,302,2024-07-24,5076.68
WH-A,Router,Supplier-W,98.0,388,2025-09-20,4568.92
WH-B,Tablet,Supplier-Y,774.0,6,2025-10-04,5002.5
WH-B,Printer,Supplier-X,827.0,165,2024-08-04,4698.71
WH-C,Router,Supplier-V,21.0,263,2025-11-14,4410.45
WH-C,Mouse,Supplier-V,127.0,318,2026-01-07,1358.65
WH-B,Mouse,Supplier-W,667.0,480,2025-03-31,4426.52
WH-D,Tablet,Supplier-Y,672.0,390,2025-08-02,3046.48
WH-A,Printer,Supplier-X,473.0,85,2025-11-04,4447.3
WH-D,Printer,Supplier-Y,114.0,476,2025-01-27,1269.95
WH-A,Keyboard,Supplier-Z,123.0,457,2024-11-24,2637.21
WH-C,Monitor,Supplier-Z,523.0,22,2025-11-02,2962.69
WH-E,Printer,Supplier-X,72.0,296,2026-05-03,4972.95
WH-B,Laptop,Supplier-V,169.0,254,2025-07-16,710.85
